#Project: Theophylline
#PK-Sim version: 9.0.170
"IndividualId","Gender","Population","Population Name","Organism|Weight [kg]","Organism|BMI [kg/dm²]","Organism|BSA [dm²]","Organism|Gestational age [week(s)]","Organism|Age [year(s)]","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|Ontogeny factor (albumin)","Organism|Height [dm]","Organism|Hematocrit","Organism|VenousBlood|Volume [l]","Organism|ArterialBlood|Volume [l]","Organism|Bone|Specific blood flow rate [l/min/kg organ]","Organism|Bone|Volume [l]","Organism|Brain|Volume [l]","Organism|Brain|Specific blood flow rate [l/min/kg organ]","Organism|Fat|Volume [l]","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate [l/min/kg organ]","Organism|Gonads|Volume [l]","Organism|Gonads|Specific blood flow rate [l/min/kg organ]","Organism|Heart|Volume [l]","Organism|Heart|Specific blood flow rate [l/min/kg organ]","Organism|Kidney|Volume [l]","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR [week(s)]","Organism|Kidney|Age of aging onset [year(s)]","Organism|Kidney|GFRmat [l/min]","Organism|Kidney|Aging half-time [year(s)]","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Specific blood flow rate [l/min/kg organ]","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius [dm]","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Gastric emptying time [min]","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|Length [dm]","Organism|Lumen|Stomach|Proximal radius [dm]","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume [l]","Organism|Stomach|Specific blood flow rate [l/min/kg organ]","Organism|SmallIntestine|Small intestinal transit time [min]","Organism|SmallIntestine|Volume [l]","Organism|SmallIntestine|Specific blood flow rate [l/min/kg organ]","Organism|LargeIntestine|Large intestinal transit time [min]","Organism|LargeIntestine|Volume [l]","Organism|LargeIntestine|Specific blood flow rate [l/min/kg organ]","Organism|Liver|Volume [l]","Organism|Liver|Specific blood flow rate [l/min/kg organ]","Organism|Lung|Volume [l]","Organism|Lung|Fraction vascular","Organism|Muscle|Volume [l]","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Vf (water)","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate [l/min/kg organ]","Organism|Pancreas|Volume [l]","Organism|Pancreas|Specific blood flow rate [l/min/kg organ]","Organism|PortalVein|Volume [l]","Organism|Skin|Volume [l]","Organism|Skin|Specific blood flow rate [l/min/kg organ]","Organism|Spleen|Volume [l]","Organism|Spleen|Specific blood flow rate [l/min/kg organ]","CYP1A2|Ontogeny factor","CYP1A2|Ontogeny factor GI","CYP1A2|Reference concentration [µmol/l]","CYP1A2|t1/2 (liver) [min]"
10,MALE,European_ICRP_2002,Population 100 subj,81.8178467367334,0.265185658365928,199.804820299065,40,36.095513732217,1.2364880982449,1.05460900752431,17.5650344655027,0.47,0.93594769875644,0.403105706376523,0.02797088680292,11.7804600854182,1.58543969708562,0.509889476398705,29.8729258199242,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0242186504770208,0.0402751116678415,0.085113131701062,0.345226039564926,0.64195931521257,0.68531887366145,0.9,45.1283742132067,30,0.0969655035484133,54,15.2784198890459,1.5,2.86722797791874,0.906591708207433,0.5,1.06040286881759,14.8818965201749,1.42954964522045,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.160170280445931,0.405404040563613,138.525145801409,0.771236004507839,0.853931520475332,2652,0.395412709137687,0.649881824503731,2.98311744444517,0.18853732857217,1.53126573263161,0.58,24.6706168424387,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0318262940472078,0.168547162699424,0.32322878846901,0.988366872360496,4.21088854304644,0.084266881482121,0.289526112564841,0.807166863999094,1.06238069742309,0.717761801795715,1.8,3945.31869282335
11,MALE,European_ICRP_2002,Population 100 subj,71.4965575184602,0.232097478161076,186.704024127182,40,39.5905522674278,0.840146271080307,0.896067940107193,17.5512218138147,0.47,0.993377434647302,0.425160039975739,0.027316266973258,11.863250106554,1.5838295082172,0.490416102299831,6.8929027603482,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0236929063770837,0.0377239932927819,0.0787181404505173,0.25446478021687,0.642372240640876,0.511802370788883,0.9,43.1661670248359,30,0.1128621656689,54,14.7957070034159,1.5,2.94591580527841,1.13783574892511,0.5,1.46273452662454,11.3857885144563,1.55529119804554,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.142199329199314,0.404048802249641,75.3175146454359,0.765115210273706,0.891025065770625,2652,0.431388726884571,0.648257298194846,1.04433650450843,0.185042261025105,1.33170659253259,0.58,40.2274728635963,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0345609784188804,0.189362496085999,0.326816590723269,0.900534596818139,3.70727430294194,0.0831053499764087,0.194655901578191,0.896845344716168,1.64558715627352,1.15410085325779,1.8,1913.80966725925
12,MALE,European_ICRP_2002,Population 100 subj,70.6370267279437,0.258606467500713,180.082660337501,40,36.4568772802394,0.637877145125986,0.888143919589035,16.5270946495046,0.47,0.904804896348707,0.373206496498345,0.0278144523974533,10.7789263333116,1.47644317672681,0.506813163950548,14.5141794980437,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0225348822800755,0.0411597700928879,0.0797057680201481,0.427743815725777,0.617143714390314,0.421843555094548,0.9,43.394869670749,30,0.102087704906435,54,15.2816446543455,1.5,2.9157675017529,1.31221315310465,0.5,1.01647609828217,12.0790674167543,0.541724820915335,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.165717023433499,0.396719944962536,40.9762822472928,0.575191658890141,0.880817103974168,2652,0.303653510083493,0.70585448342759,1.95157790523604,0.188769550086105,1.84983237711278,0.58,31.8020586904227,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0317606472244152,0.0943394668243303,0.312728984009676,0.938856331363099,3.7875535700921,0.0918779773303129,0.229938652643154,0.890113140399786,0.944777009678587,1.33061456109224,1.8,2518.88138558696
13,MALE,European_ICRP_2002,Population 100 subj,77.8603985520675,0.224831272366221,200.623001102811,40,33.6223783779994,0.915184206195154,1.12309225543418,18.6092963541176,0.47,0.961422029576121,0.441592886101309,0.0283594436418157,13.2856319428735,1.52905358917248,0.503069868404345,15.3182424826155,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0232420647571123,0.0459403743301969,0.086580356198576,0.485206177738268,0.584883146675955,0.605901545161765,0.9,43.5026324713619,30,0.144842565002729,54,15.5304148362242,1.5,3.04584574706413,1.63903872351585,0.5,0.93157281317899,9.85849728276539,1.36778822465353,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.207003921533636,0.397032568186084,152.807302062899,0.879677305550992,0.85631171420107,2652,0.49963067876147,0.629747603815135,1.29279892112604,0.173119623035904,1.09435232301964,0.58,36.0485381469183,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0352928686737636,0.18064038077447,0.357879199257686,1.01274235551636,3.75861984201418,0.0783633871153793,0.213403649283225,0.802235898138212,1.51667610898528,1.07580081217035,1.8,4008.73106823496
14,MALE,European_ICRP_2002,Population 100 subj,59.1290559699188,0.205979820061837,166.82148228461,40,31.0078395674973,0.938793942847556,1.11067208576573,16.9429151316857,0.47,0.873820846474903,0.40752829356133,0.0260594687457132,10.9490609690658,1.57669582160595,0.49561487786735,6.30311727059335,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0226686033138951,0.040637623704944,0.0864036326919121,0.228131778300194,0.612495279303722,0.508538255711309,0.9,46.7878650688573,30,0.142793419843443,54,14.9685884723316,1.5,2.78884488935051,0.730660783470024,0.5,1.40050133890281,10.0075403961945,0.556086787469121,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.12785429751579,0.381276460679961,156.909813978885,0.677211099746526,0.924168371397291,2652,0.442751498302462,0.677462252468245,2.18910358169141,0.183042054068049,1.4924874409057,0.58,28.2083945627291,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0329927179821844,0.178692256303116,0.317487142384749,0.954427916095792,3.57056295757913,0.0932430786160146,0.400039500032049,0.761283908909356,1.08438704763173,0.545658847270534,1.8,976.231737028412
15,MALE,European_ICRP_2002,Population 100 subj,59.3814828220814,0.228525375000866,163.065507529874,40,33.6273893823975,0.828134093406247,1.07727883084461,16.1197500701314,0.47,0.852214779638624,0.366173156434616,0.0285742311285422,9.90014098258142,1.49051536320495,0.533860196486326,8.58382373196875,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0204413785299121,0.0405185910714542,0.083234599414286,0.401688372697943,0.625849591904478,0.482956147801382,0.9,43.7119918770788,30,0.129761769846905,54,14.4191876089499,1.5,2.95197362562714,1.38328887328886,0.5,1.06228376281248,9.13856828089217,0.847703631659743,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.193480113796146,0.400221486523583,162.668767362499,0.656866114464875,0.872574953817548,2652,0.39413098665844,0.618046823618098,2.75031406157514,0.184637542008974,1.44277624772883,0.58,27.3233044042416,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0342680568352282,0.138863855366926,0.312410977392365,0.857512786938954,3.23462183234319,0.0836370112482875,0.271581293568177,0.829913260398888,1.43811556376881,2.51993830728517,1.8,2915.12435805096
16,MALE,European_ICRP_2002,Population 100 subj,75.0756674430247,0.255724671478998,189.033458222462,40,37.0723600439133,0.449852801429609,0.841121403493028,17.1341784721107,0.47,0.979420275084236,0.418748947346092,0.0307645044307243,11.3781969376622,1.58641521427959,0.503891728567531,17.1573112613611,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0208139292364928,0.0425051781161318,0.0778008055360354,0.314813010247099,0.667566929899953,0.507150481202415,0.9,43.387093627502,30,0.0944674532295367,54,14.8025561406382,1.5,2.99171107524873,3.24036830937568,0.5,1.13266153462045,12.1243891286949,1.52047456040281,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.141133020632444,0.4113080770264,221.871339334295,0.667988932247627,0.918187867040229,2652,0.442234696338244,0.656439891225615,2.19752900247805,0.188469973909746,1.29059958099962,0.58,32.8820670442004,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0350843737774717,0.29817425129788,0.322924733575932,0.936100105857287,3.56166382080474,0.0880440436926939,0.273615682869548,0.85377114860494,1.4146469190363,0.585359319567504,1.8,3000.13145983507
17,MALE,European_ICRP_2002,Population 100 subj,79.3292962992781,0.243746844742175,199.387480772432,40,35.3827088258149,1.55970340765814,1.3067768816556,18.04044722879,0.47,0.951099738140254,0.418841576942808,0.0284167038060208,12.2802335583703,1.6138736195113,0.570649517142123,13.8650723712775,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0216650377278517,0.0406609818973259,0.076148306177288,0.358700122291253,0.643237513635916,0.20434201146517,0.9,44.7618788974914,30,0.129426547046395,54,14.9271104664165,1.5,2.88416283935288,1.37312420880006,0.5,1.28718837085123,12.5805769543421,0.367884721575073,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.148634320985437,0.328104744527412,502.35133925566,0.910687767856746,0.978388264088438,2652,0.535255061122198,0.709749575463874,2.0550957733047,0.194035267129314,1.83211699447314,0.58,38.7701593351742,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0315315061116724,0.230706557850376,0.330330842309768,0.947831173415209,3.76067048018921,0.0839457193551044,0.405314855011064,0.815118654093047,0.806283217416658,0.904956293704238,1.8,1557.73182747568
18,MALE,European_ICRP_2002,Population 100 subj,72.1585541975534,0.270471576759261,180.943461560962,40,38.4976390881919,0.8681523159379,1.08304588021807,16.3336443515099,0.47,0.901960843291348,0.368588742059901,0.0271451482024153,10.2859480913775,1.4311281061645,0.506284188627822,21.5824726260008,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0236869321309028,0.0385754712631307,0.0879502531984455,0.470424489968084,0.680413222259006,0.469214759506961,0.9,43.1329230943621,30,0.164718014850159,54,14.8556339991749,1.5,2.91528804162353,0.781331002345434,0.5,1.36722366313079,13.8189207132875,0.405861607523742,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.141508935376773,0.362465814580508,197.718107716223,0.599776088133548,0.889664929454003,2652,0.407724974602746,0.628435841865635,2.36229540559483,0.187960206230792,1.29386916752578,0.58,26.924500669018,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0346689264286702,0.259532054034548,0.360137224430053,0.84126029870286,3.57217063854904,0.0905306450347781,0.207602836383101,0.890431896598274,0.67194534246617,0.815308018360059,1.8,4375.3820186033
19,MALE,European_ICRP_2002,Population 100 subj,69.3553825398508,0.236476809852225,181.643735484008,40,39.3185742661909,0.561257064191096,0.792967768384947,17.1256004218667,0.47,0.9701702264849,0.372016886464268,0.0264268539847206,11.2364842820862,1.4384793596128,0.506501076768098,13.106260230911,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0219089917300539,0.0417664230613812,0.0818150232828265,0.525908846466893,0.639934977500749,0.381521476108963,0.9,44.3622695367924,30,0.155223559402012,54,15.1267049385804,1.5,2.88327602544726,0.827700341370845,0.5,0.939677558364923,33.2588235950418,1.24260103345561,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.160557557085882,0.375241584877943,48.7206967188316,0.604029270269096,0.869802094551689,2652,0.392394364459172,0.639277891382856,3.03706371372061,0.186208113850623,1.51586646735557,0.58,30.9004703137006,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0353720883669294,0.138938929082004,0.33311202633105,0.872434700417038,3.37025031397721,0.0857403233644207,0.290769178587226,0.925050466501202,0.69016661643879,1.60847114298156,1.8,1416.41098460512
20,MALE,European_ICRP_2002,Population 100 subj,80.7260639441665,0.228501746414464,205.303043550364,40,37.7888644755766,1.77833462732564,0.89929605843874,18.7958567718429,0.47,1.04162646090005,0.42922776395131,0.0281772736902596,13.773611291415,1.50142294976477,0.482403624896254,13.3081043993847,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0228263122474457,0.0457950837015264,0.0788233476669899,0.528452295958349,0.636124454415348,0.557684106518231,0.9,45.6244995947067,30,0.13588520210584,54,14.7081145184401,1.5,2.71923169306801,0.937644523989284,0.5,0.982832879053395,15.9893542996893,2.26837481438522,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.211901222477518,0.381423333732075,222.92812292073,0.998497956444784,0.922216900710117,2652,0.405538454070076,0.6145735321646,1.60956992301438,0.183240704582116,2.04104324097198,0.58,38.7338446936148,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0314148569456441,0.174109932697676,0.355823759347066,0.932518568236254,4.0779657848036,0.0828006364631036,0.355149816241493,0.87402254614824,0.556823522894762,2.1604138348274,1.8,772.971201988847
21,MALE,European_ICRP_2002,Population 100 subj,60.5106911129381,0.243082635171897,162.851977437817,40,36.325347533601,0.661639445631905,0.83326147860587,15.7775326917784,0.47,0.89434576658579,0.400043466558592,0.0280597823048307,9.49608767928324,1.42393263451268,0.526625562966917,9.24851571164854,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0241886849570456,0.0365302894315039,0.0797866236468422,0.339862811354221,0.654227815848964,0.409416975793414,0.9,45.264887180552,30,0.138892894733393,54,15.1314074265399,1.5,2.83103538202067,1.10044595516418,0.5,1.19435768883421,17.5785824784806,1.19351044105968,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.130956863726505,0.401641036003181,111.684338651727,0.666373270650368,0.92448087602145,2652,0.205029973432581,0.640583114273248,2.21068961404813,0.16900002370822,1.42435719931628,0.58,29.3560991402827,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.036462918603745,0.174132668750909,0.357196785811417,0.854121710131881,3.02229403709067,0.0857650085520588,0.217901300340052,0.852120746349212,1.08318726238691,0.799906128403461,1.8,3507.05249660628
22,MALE,European_ICRP_2002,Population 100 subj,75.9669752990591,0.253626526230878,191.107351251174,40,31.4400125068799,1.22969955007097,0.86082953528004,17.3067324844016,0.47,0.917712747638861,0.388500069946244,0.0260223794346078,11.4265972777554,1.5615622669284,0.507262774820333,16.7405614838682,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.019736219958433,0.0406637066172053,0.0800254661637488,0.304307199656173,0.642098058767956,0.414015028897699,0.9,44.9589128178961,30,0.0870381213991099,54,15.4966920159141,1.5,2.85829062705651,0.91959375215602,0.5,1.01592445008781,26.6026794131285,0.432869951511434,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.162739296407131,0.365372804259827,166.839319038303,0.611241043391329,0.828617240756596,2652,0.523174712375256,0.515237793668702,2.6501628569725,0.181600833082696,1.27091546215422,0.58,34.0519031300385,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0366558125821243,0.22468452068359,0.340253672921819,1.02225732755954,3.50931134151735,0.0830347554962673,0.146665826651522,0.771337097072488,1.22957694955943,1.63865329758032,1.8,789.6729662147
23,MALE,European_ICRP_2002,Population 100 subj,79.5973636575869,0.26783584449827,195.237965615199,40,34.4404354199955,0.745602314179148,1.04794108670883,17.2391160297562,0.47,0.84931894257981,0.406850441292812,0.0279295134158469,11.5914585704622,1.61907976212962,0.443836824947334,20.5890960570727,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0230307700830279,0.0397722201624006,0.0819832484469586,0.460365085256815,0.653520676263496,0.555027939388853,0.9,44.1354328117682,30,0.122353591968584,54,15.1364600540208,1.5,2.98004157390799,0.875486743038739,0.5,0.577560754715815,10.7601753925048,0.745237988708953,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.1367666436958,0.38848780800472,171.088627685944,0.644318165543494,0.87074481401727,2652,0.387773143196772,0.657722667540427,2.53320911550589,0.179383439948334,1.26256572841122,0.58,33.0097060907575,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0359263545571682,0.242008617695691,0.349061171106814,1.03371984826136,3.99601010667275,0.086632365501065,0.240317179501266,0.795519001609918,1.11014365237209,0.5053020552371,1.8,4714.81354100306
24,MALE,European_ICRP_2002,Population 100 subj,69.2233726746843,0.216587086922628,185.412436776332,40,36.8066849451543,0.729887077833742,0.866016185776672,17.8776362850426,0.47,0.938912139309445,0.423376242470314,0.0261348042952769,12.5117644805307,1.56567069511034,0.519419691343907,13.4482193191474,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0235124279464121,0.0427742207541845,0.0817838930516618,0.501027431994264,0.633476702855387,0.343786148768376,0.9,44.3453939847813,30,0.068855974636943,54,14.6989849217147,1.5,2.71728335504596,1.53611229766451,0.5,0.742541137318492,16.9971817656152,0.308397126373447,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.142587925755928,0.402700413395531,142.646610231175,0.722794094055148,0.900226691046408,2652,0.242561268523057,0.640060364156614,3.61750960714833,0.173969678389729,1.46804364793139,0.58,27.8042794917973,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0322587862205064,0.19674437001859,0.374559479681302,0.935159029348789,3.49622253232701,0.0857694938165731,0.821940029693699,0.828300637036748,1.16678117515132,1.89780722188159,1.8,3331.20184638683
25,MALE,European_ICRP_2002,Population 100 subj,66.6163824334569,0.267391673816301,170.905582602544,40,38.636219696438,1.13914839408754,0.877625316103358,15.7839822011902,0.47,0.86710694351087,0.417415463975215,0.027868634618994,9.79555584091097,1.45073400252544,0.484163360374789,15.6094465760359,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0208912240662268,0.0371973111883825,0.0839972781349779,0.417163448149033,0.70150977673699,0.431126303401775,0.9,43.9881638905209,30,0.0977661672918779,54,15.2350250378451,1.5,2.53660939819854,1.08279814916725,0.5,1.21778264537368,12.4804852198336,0.920167709795239,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.159410762540569,0.361583008905069,134.268145414033,0.576757764460033,0.877291941687196,2652,0.296285633672321,0.636301911852578,2.23995033425767,0.171625345076106,1.84095220237738,0.58,27.815929456062,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0356845059172264,0.266626550439142,0.351593623151004,0.821439708985957,3.20573783757631,0.088176401602873,0.36754629338792,0.903610218455622,2.00870899687333,1.53147573393361,1.8,395.25030536993
26,MALE,European_ICRP_2002,Population 100 subj,63.688096062916,0.226492806236181,172.241394008626,40,37.5520367955566,1.05536062706966,0.997971718667974,16.7687977478078,0.47,0.864519221706314,0.39319080043618,0.0277669911985319,10.6885766894093,1.5281410491325,0.501807458743909,11.4051159400716,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0218349421727381,0.0412630880886327,0.07841676904785,0.471080290859769,0.604024994073076,0.418345458869612,0.9,43.6311741455226,30,0.138506986664266,54,15.036014068916,1.5,2.65387528238298,0.864234831553883,0.5,0.873730987928858,23.4478756054766,0.712149115577075,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.183773463661824,0.376229205081483,351.126935296515,0.55992160506436,0.910236899724193,2652,0.438851698813313,0.617125182586217,1.36227563939337,0.17608811920089,1.89489411144349,0.58,28.7342091091332,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.031672263842959,0.130255400146529,0.350771045598383,0.905176575725124,3.36770821374356,0.0859363497882729,0.300797707217306,0.826024104085991,1.26956123135751,0.796574037413321,1.8,3757.24046755477
27,MALE,European_ICRP_2002,Population 100 subj,90.2579405669631,0.24046575866023,220.398274205062,40,39.4036468162218,1.91616335658923,0.903248657739648,19.3738569299465,0.47,1.09389872315977,0.444423455424913,0.0268410944060631,14.5548233384662,1.56392654701134,0.509733564098139,16.8269329993555,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0217101773121975,0.0423574692049969,0.0831119726637181,0.341602001514787,0.633655286848024,0.543678275581558,0.9,44.723728070935,30,0.109021807347082,54,14.8412130978802,1.5,2.923186824445,0.870522139688703,0.5,0.699138946405505,17.5844011594507,1.72763682434635,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.161911258475614,0.387118596680195,114.834219278221,0.916810504018402,0.898324772520531,2652,0.46465595690568,0.60763092830283,1.78118473263992,0.163719474836656,1.30191732704463,0.58,44.2381076437463,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0344333150216136,0.15157869412138,0.325701792976737,0.987198980821741,4.68463376849914,0.087231053492085,0.158298890971132,0.803605618685111,0.627430157112053,1.11746989836953,1.8,2696.52236562933
